COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDAPPLICATION,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
DESCRIPTION,VARCHAR,YES,,100,NULL,,12,,,1,,,200,2
TRAVELERPROFILE_IDTRAVELERPROFILE,INTEGER,NO,0,10,,,4,,10,0,,,,3
QUOTES_IDQUOTES,INTEGER,NO,0,10,,,4,,10,0,,,,4
FINALCOSTING_IDFINALCOSTING,INTEGER,NO,0,10,,,4,,10,0,,,,5
TRAVEL_IDTRAVEL,INTEGER,NO,0,10,,,4,,10,0,,,,6
ACCOUNT_IDACCOUNT,INTEGER,NO,0,10,,,4,,10,0,,,,7
FOREXORDER_IDFOREXORDER,INTEGER,NO,0,10,,,4,,10,0,,,,8
MOTIVATION_IDMOTIVATION,INTEGER,NO,0,10,,,4,,10,0,,,,9
DATEMODIFIED,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,10
