COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDATTACHEMENT,INTEGER,NO,0,10,,,4,,10,0,,,,1
DISCRIPTION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,2
DOCUMENTLOCATION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
CONFERENCE_IDCONFERENCE,INTEGER,YES,0,10,NULL,,4,,10,1,,,,4
ITINERARY_IDITINERARY,INTEGER,YES,0,10,NULL,,4,,10,1,,,,5
APPROVAL_IDAPPROVAL,INTEGER,YES,0,10,NULL,,4,,10,1,,,,6
APPLICATION_IDAPPLICATION,INTEGER,YES,0,10,NULL,,4,,10,1,,,,7
TRAVEL_IDTRAVEL,INTEGER,YES,0,10,NULL,,4,,10,1,,,,8
FINALCOSTING_IDFINALCOSTING,INTEGER,YES,0,10,NULL,,4,,10,1,,,,9
CARQUOTES_IDCARQUOTES,INTEGER,YES,0,10,NULL,,4,,10,1,,,,10
QUOTES_IDQUOTES,INTEGER,YES,0,10,NULL,,4,,10,1,,,,11
ACCOMODATIONQUOTES_IDACCOMODATIONQUOTES,INTEGER,YES,0,10,NULL,,4,,10,1,,,,12
FLIGHTQUOTES_IDFLIGHTQUOTES,INTEGER,YES,0,10,NULL,,4,,10,1,,,,13
TRAVELDOCUMENT_IDTRAVELDOCUMENTS,INTEGER,YES,0,10,NULL,,4,,10,1,,,,14
TRAVELERPROFILE_IDTRAVELERPROFILE,INTEGER,YES,0,10,NULL,,4,,10,1,,,,15
REWARDSPROGRAM_IDREWARDSPROGRAM,INTEGER,YES,0,10,NULL,,4,,10,1,,,,16
FOREXORDER_IDFOREXORDER,INTEGER,YES,0,10,NULL,,4,,10,1,,,,17
MOTIVATION_IDMOTIVATION,INTEGER,YES,0,10,NULL,,4,,10,1,,,,18
