COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDCONFERENCE,INTEGER,NO,0,10,,,4,,10,0,,,,1
CONFERENCENAME,VARCHAR,YES,,45,NULL,,12,,,1,,,90,2
WEBPAGE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
COUNTRY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
CITY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,5
PRESENTING,SMALLINT,YES,0,5,NULL,,5,,10,1,,,,6
PRESENTATIONTITLE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,7
AUTHORS,VARCHAR,YES,,45,NULL,,12,,,1,,,90,8
OTHERREASONATTENDANCE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,9
DATEMSAPRESENTATION,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,10
CONFERENCEDURATION,INTEGER,YES,0,10,NULL,,4,,10,1,,,,11
DATEFROM,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,12
DATETO,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,13
REPLACEMENT,VARCHAR,YES,,45,NULL,,12,,,1,,,90,14
REPLACEMENTARRANGMENTS,VARCHAR,YES,,45,NULL,,12,,,1,,,90,15
