COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDFOREXORDER,INTEGER,NO,0,10,,,4,,10,0,,,,1
DATEOFDELIVERY,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,2
CURRENCY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
TRAVELERSCHEQUES,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
CASH,VARCHAR,YES,,45,NULL,,12,,,1,,,90,5
CASHPASSPORT,VARCHAR,YES,,45,NULL,,12,,,1,,,90,6
CCTYPE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,7
CCNUMBER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,8
CCEXPIRYDATE,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,9
CCPAYMENTAMOUNT,VARCHAR,YES,,45,NULL,,12,,,1,,,90,10
FLIGHTNUMBER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,11
COMPANYNAME,VARCHAR,YES,,45,NULL,,12,,,1,,,90,12
COMPANYREGISTRATION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,13
