COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDPERMISSIONS,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
PERMISSION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,2
DISCRITPTION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
CREATEPERM,SMALLINT,YES,0,5,1,,5,,10,1,,,,4
DELETEPERM,SMALLINT,YES,0,5,1,,5,,10,1,,,,5
UPDATEPERM,SMALLINT,YES,0,5,1,,5,,10,1,,,,6
READPERM,SMALLINT,YES,0,5,0,,5,,10,1,,,,7
GRANTPERM,SMALLINT,YES,0,5,1,,5,,10,1,,,,8
TASKS_IDTASKS,INTEGER,NO,0,10,,,4,,10,0,,,,9
ROLES_IDROLES,INTEGER,NO,0,10,,,4,,10,0,,,,10
